{'loss': 2.5197, 'grad_norm': 3.749941349029541, 'learning_rate': 2.4000000000000003e-06, 'num_tokens': 44424.0, 'mean_token_accuracy': 0.45988258719444275, 'epoch': 0.09}
{'loss': 1.3632, 'grad_norm': 3.130218267440796, 'learning_rate': 2.2e-06, 'num_tokens': 44936.0, 'mean_token_accuracy': 0.6301369667053223, 'epoch': 0.09}
{'loss': 1.6034, 'grad_norm': 3.47514271736145, 'learning_rate': 2.0000000000000003e-06, 'num_tokens': 45448.0, 'mean_token_accuracy': 0.6027397513389587, 'epoch': 0.09}
{'loss': 1.4567, 'grad_norm': 3.2272510528564453, 'learning_rate': 1.8000000000000001e-06, 'num_tokens': 45960.0, 'mean_token_accuracy': 0.6497064828872681, 'epoch': 0.09}
{'loss': 1.6481, 'grad_norm': 3.576451301574707, 'learning_rate': 1.6000000000000001e-06, 'num_tokens': 46472.0, 'mean_token_accuracy': 0.6027397513389587, 'epoch': 0.09}
{'loss': 2.0493, 'grad_norm': 3.4529154300689697, 'learning_rate': 1.4000000000000001e-06, 'num_tokens': 46984.0, 'mean_token_accuracy': 0.49510762095451355, 'epoch': 0.09}
{'loss': 1.8557, 'grad_norm': 3.501661777496338, 'learning_rate': 1.2000000000000002e-06, 'num_tokens': 47496.0, 'mean_token_accuracy': 0.5655577182769775, 'epoch': 0.09}
{'loss': 2.1538, 'grad_norm': 6.701915740966797, 'learning_rate': 1.0000000000000002e-06, 'num_tokens': 47747.0, 'mean_token_accuracy': 0.5440000295639038, 'epoch': 0.09}
{'loss': 1.7387, 'grad_norm': 3.237025260925293, 'learning_rate': 8.000000000000001e-07, 'num_tokens': 48259.0, 'mean_token_accuracy': 0.5616438388824463, 'epoch': 0.09}
{'loss': 1.7644, 'grad_norm': 3.3913443088531494, 'learning_rate': 6.000000000000001e-07, 'num_tokens': 48771.0, 'mean_token_accuracy': 0.5949119329452515, 'epoch': 0.1}
{'loss': 2.4812, 'grad_norm': 4.688620090484619, 'learning_rate': 4.0000000000000003e-07, 'num_tokens': 49190.0, 'mean_token_accuracy': 0.5334928035736084, 'epoch': 0.1}
{'loss': 1.5034, 'grad_norm': 3.45843243598938, 'learning_rate': 2.0000000000000002e-07, 'num_tokens': 49702.0, 'mean_token_accuracy': 0.6007827520370483, 'epoch': 0.1}
{'train_runtime': 1558.1512, 'train_samples_per_second': 0.064, 'train_steps_per_second': 0.064, 'train_loss': 1.9972075670957565, 'epoch': 0.1}
